chapter_id,chapter_name,zone,region,chapter_type,account_type,city,state,country,email,phone,lat,lon,snapshot_date
a0M6g00000BqR07,New York Institute Of Technology-Central Islip,Metro/LI Zone,Region 1,,Chapter,CENTRAL ISLIP,New York,United States,,000  000000,42.144415067893064,-75.16542104864101,2026-06-19
a0M6g00000BqR08,NSBE Greenbelt Space Chapter,Terror Zone,Region 2,,Chapter,Glenn Dale,Maryland,United States,leslie.garrison@nasa.gov,301  2866940,38.804891053734835,-76.81910755164184,2026-06-19
a0M6g00000BqR0A,City University Of New York-Queens,Metro/LI Zone,Region 1,,Chapter,FLUSHING,New York,United States,,000  000000,41.97456254433562,-74.82918120372224,2026-06-19
a0M6g00000BqR0E,State University Of New York- New Paltz,Metro/LI Zone,Region 1,,Chapter,New Paltz,New York,United States,nsbe.newpaltz@gmail.com,(347) 664-4786,42.12173234321063,-74.71517626275951,2026-06-19
a0M6g00000BqR0F,NSBE Trinity College,New England Zone,Region 1,,Chapter,Hartford,Connecticut,United States,harry.blaise@trincoll.edu,000  000000,41.737967571401576,-72.88671435103257,2026-06-19
a0M6g00000BqR0I,Yale University,New England Zone,Region 1,,Chapter,New Haven,Connecticut,United States,michael.loewenberg@yale.edu,(203) 668-1023,41.83036386097664,-72.54203594975223,2026-06-19
a0M6g00000BqR0J,State University Of New York- Maritime,Metro/LI Zone,Region 1,,Chapter,The Bronx,New York,United States,,000  000000,42.086960865321124,-75.09622132724884,2026-06-19
a0M6g00000BqR0K,St. John'S University,Primary Zone,Region 1,,Chapter,Jamaica,New York,United States,sju.nsbe@gmail.com,000  000000,42.29347285278248,-75.2002242614735,2026-06-19
a0M6g00000BqR0L,University Of New Haven,New England Zone,Region 1,,Chapter,West Haven,Connecticut,United States,nsbe-newhaven@newhaven.edu,000  000000,41.38771774173258,-73.1002174111743,2026-06-19
a0M6g00000BqR0M,Johnson & Wales University,New England Zone,Region 1,,Chapter,PROVIDENCE,Rhode Island,United States,,000  000000,41.881740064251495,-71.39638440038559,2026-06-19
a0M6g00000BqR0N,U.S. Military Academy-West Point,Metro/LI Zone,Region 1,,Chapter,WEST POINT,New York,United States,stephane.manuel@usma.edu,000  000000,42.30934176503843,-74.75154067828463,2026-06-19
a0M6g00000BqR0O,Wellesley College,New England Zone,Region 1,,Chapter,WELLESLEY,Massachusetts,United States,nsbemail@wellesley.edu,000  000000,42.20141204287684,-71.48198716283298,2026-06-19
a0M6g00000BqR0P,Polytechnic Univ-Long Island,Metro/LI Zone,Region 1,,Chapter,FARMINGDALE,New York,United States,,000  000000,41.91358389868936,-75.21787994852482,2026-06-19
a0M6g00000BqR0Q,Boston College,New England Zone,Region 1,,Chapter,CHESTNUT HILL,Massachusetts,United States,,000  000000,42.348053073253325,-71.5503386556998,2026-06-19
a0M6g00000BqR0R,Buffalo State University,Upstate Zone,Region 1,,Chapter,BUFFALO,New York,United States,bsc.nsbe@gmail.com,000  000000,42.21139127453683,-74.76255179980879,2026-06-19
a0M6g00000BqR0S,Fairleigh Dickinson University,New Jersey Zone,Region 1,,Chapter,TEANECK,New Jersey,United States,taty_21@student.fdu.edu,000  000000,40.393206824000416,-74.4835054195394,2026-06-19
a0M6g00000BqR0T,Devry University-New York At Long Island City,Metro/LI Zone,Region 1,,Chapter,LONG ISLAND CITY,New York,United States,,000  000000,42.20717101252179,-75.08528593135618,2026-06-19
a0M6g00000BqR0U,Drew University,New Jersey Zone,Region 1,,Chapter,JERSEY CITY,New Jersey,United States,,000  000000,39.970476484197555,-74.56530882753735,2026-06-19
a0M6g00000BqR0V,Devry University-North Brunswick,New Jersey Zone,Region 1,,Chapter,NORTH BRUNSWICK,New Jersey,United States,,000  000000,40.09911327097367,-74.58504094939276,2026-06-19
a0M6g00000BqR0W,Middlesex County College,New Jersey Zone,Region 1,,Chapter,Edison,New Jersey,United States,mcc_nsbe@yahoo.com,000  000000,40.54628615128772,-74.70725335989427,2026-06-19
a0M6g00000BqR0X,Pace Unversity,Metro/LI Zone,Region 1,,Chapter,New York,New York,United States,nsbe@pace.edu,000  000000,41.856537919182344,-75.1010822755846,2026-06-19
a0M6g00000BqR0Z,Smith College,New England Zone,Region 1,,Chapter,Northampton,Massachusetts,United States,nsbe@smith.edu,000  000000,42.085686630436676,-71.41676443969118,2026-06-19
a0M6g00000BqR0b,Gannon University/Deltak,Primary Zone,Region 3,,Chapter,Maitland,Florida,United States,jessica.montville@deltak-innovation.com,000  000000,27.806201506638896,-81.48805425362552,2026-06-19
a0M6g00000BqR0z,South Carolina State University,Comfort Zone,Region 2,,Chapter,ORANGEBURG,South Carolina,United States,scsuprezz@gmail.com,000  000000,33.971911478229174,-81.01053619699195,2026-06-19
a0M6g00000BqR11,Capitol College,Terror Zone,Region 2,,Chapter,LAUREL,Maryland,United States,ccnsbe@yahoo.com,000  000000,39.283760269266224,-77.0352199560646,2026-06-19
a0M6g00000BqR13,Pennsylvania State University - Behrend,End Zone,Region 2,,Chapter,ERIE,Pennsylvania,United States,psb_nsbe@yahoo.com,(814) (898) 6000,40.25665045119371,-77.49672149745705,2026-06-19
a0M6g00000BqR14,St. Augustines University,Comfort Zone,Region 2,,Chapter,RALEIGH,North Carolina,United States,awurie@st-aug.edu,000  000000,35.78571754541751,-79.83310493882404,2026-06-19
a0M6g00000BqR16,Western New England University,New England Zone,Region 1,,Chapter,Springfield,Massachusetts,United States,,000  000000,41.99306124532352,-71.52937465742765,2026-06-19
a0M6g00000BqR17,Colgate University,Primary Zone,Region 1,,Chapter,Hamilton,New York,United States,,000  000000,41.922344471899216,-74.81062673744559,2026-06-19
a0M6g00000BqR18,Morrisville State College,Primary Zone,Region 1,,Chapter,Morrisville,New York,United States,,000  000000,42.12803539290182,-75.03133614173247,2026-06-19
a0M6g00000BqR19,Suny Institute Of Technology,Primary Zone,Region 1,,Chapter,Utica,New York,United States,,000  000000,42.02678446240351,-74.85685318481679,2026-06-19
a0M6g00000BqR1B,New Society Of Black Engineers,Terror Zone,Region 2,,Chapter,Largo,Maryland,United States,,000  000000,38.96721482738737,-77.09074605647872,2026-06-19
a0M6g00000BqR1C,University of Bridgeport Chapter,New England Zone,Region 1,,Chapter,Bridgeport,Connecticut,United States,ubnsbe@gmail.com,000  000000,41.33038613148436,-72.43204263481533,2026-06-19
a0M6g00000BqR1D,University Of Portharcourt (Uniport),International Zone,Region 1,,Chapter,"Portharcourt, Rivers state",,Nigeria,nsbe_uniport@yahoo.com,000  000000,9.368006483495325,8.815094993667525,2026-06-19
a0M6g00000BqR1H,Virginia Union University,O Zone,Region 2,,Chapter,RICHMOND,Virginia,United States,vuu.nsbe@hotmail.com,804  2575671,37.605445973021666,-77.84154453585658,2026-06-19
a0M6g00000BqR1M,Bowie State University,Terror Zone,Region 2,,Chapter,BOWIE,Maryland,United States,bowiensbe@gmail.com,661  3481638,39.259071632776056,-76.6502778675887,2026-06-19
a0M6g00000BqR1O,University Of Maryland-Eastern Shore,Terror Zone,Region 2,,Chapter,PRINCESS ANNE,Maryland,United States,,000  000000,39.02849905150065,-76.96153190670839,2026-06-19
a0M6g00000BqR1V,Community College Of Philadelphia,Danger Zone,Region 2,,Chapter,Philadelphia,Pennsylvania,United States,,000  000000,40.30822567350745,-76.9279333224193,2026-06-19
a0M6g00000BqR1W,Wake Forest University,Comfort Zone,Region 2,,Chapter,Winston-Salem,North Carolina,United States,becknr22@wfu.edu,240-498-1512,35.59910940288353,-80.01476464464335,2026-06-19
a0M6g00000BqR1Z,Bennett College,Comfort Zone,Region 2,,Chapter,Greensboro,North Carolina,United States,bennett_nsbe@yahoo.com,000  000000,35.49423563690546,-79.75096530174068,2026-06-19
a0M6g00000BqR1a,Itt Technical Institute - Springfield Va,Terror Zone,Region 2,,Chapter,Springfield,Virginia,United States,durrellgray@hotmail.com,000  000000,37.543077948057466,-77.92033800113533,2026-06-19
a0M6g00000BqR1b,Frostburg State University,Terror Zone,Region 2,,Chapter,Frostburg,Maryland,United States,,000  000000,39.244909670884645,-76.64847693083433,2026-06-19
a0M6g00000BqR1c,Central Piedmont Community College,Comfort Zone,Region 2,,Chapter,Charlotte,North Carolina,United States,president@nsbecharlotte.org,000  000000,35.58253112784257,-79.71730281150829,2026-06-19
a0M6g00000BqR1d,East Carolina University,Comfort Zone,Region 2,,Chapter,Greenville,North Carolina,United States,hayesd07@students.ecu.edu,000  000000,35.688934578238914,-79.70152637891164,2026-06-19
a0M6g00000BqR1i,Auburn University NSBE Chapter,Primary Zone,Region 3,,Chapter,Auburn University,Alabama,United States,csw0072@auburn.edu,(334) 844-6319,32.51578202479792,-86.85006481848058,2026-06-19
a0M6g00000BqR1m,Jackson State University,,Region 3,,Non-Member,Jackson,Mississippi,United States,jacksonstatensbe3@gmail.com,(601) 979-2121,32.420775921703324,-89.68290242652884,2026-06-19
a0M6g00000BqR1p,Tennessee State University,Primary Zone,Region 3,,Chapter,Nashville,Tennessee,United States,tennstatensbe@gmail.com,334  7440547,35.62874784863295,-86.94117806779377,2026-06-19
a0M6g00000BqR1q,Tennessee Tech University,Primary Zone,Region 3,,Chapter,Cookeville,Tennessee,United States,hingle@tntech.edu,931  372-3540,35.47022707740578,-86.6309937994756,2026-06-19
a0M6g00000BqR1s,University Of Alabama-Birmingham,Primary Zone,Region 3,,Chapter,Birmingham,Alabama,United States,nsbeatuab@gmail.com,205-934-8450,32.57608607797582,-86.49354591713623,2026-06-19
a0M6g00000BqR1t,University Of Alabama-Huntsville,Primary Zone,Region 3,,Chapter,HUNTSVILLE,Alabama,United States,nsbe@email.uah.edu,000  000000,32.86341379779028,-86.89832113682561,2026-06-19
a0M6g00000BqR23,Vanderbilt University,Primary Zone,Region 3,,Chapter,NASHVILLE,Tennessee,United States,vuse.nsbe@gmail.com,000  000000,35.81148584403699,-87.02638229027922,2026-06-19
a0M6g00000BqR24,Catholic University Nsbe Chapter,Terror Zone,Region 2,,Chapter,Washington,District of Columbia,United States,president.nsbe.cua@gmail.com,(202)-640-3666,39.21842944926901,-77.03920459413996,2026-06-19
a0M6g00000BqR25,Loyola College,Terror Zone,Region 2,,Chapter,Baltimore,Maryland,United States,nsbeloyola@gmail.com,000  000000,39.261860659075204,-77.09419000005428,2026-06-19
a0M6g00000BqR26,Christian Brothers University,Primary Zone,Region 3,,Chapter,MEMPHIS,Tennessee,United States,nearle@cbu.edu,000  000000,35.73850583158671,-86.69885010395184,2026-06-19
a0M6g00000BqR2B,Albany State University,Primary Zone,Region 3,,Chapter,ALBANY,Georgia,United States,ksowu@students.asurams.edu,000  000000,33.347097518482485,-83.59286436333674,2026-06-19
a0M6g00000BqR2D,Devry University-Atlanta,Primary Zone,Region 3,,Chapter,DECATUR,Georgia,United States,nsbedevryatlanta@yahoo.com,000  000000,33.022061580739866,-83.80619103583567,2026-06-19
a0M6g00000BqR2G,Oakwood University,Primary Zone,Region 3,,Chapter,Hunstville,Alabama,United States,ounsbe.president@gmail.com,000  000000,32.68876929813979,-86.77665931826992,2026-06-19
a0M6g00000BqR2H,Kentucky State University- Alpha Omega,Primary Zone,Region 3,,Chapter,FRANKFORT,Kentucky,United States,nsbeky@gmail.com,773  9208395,37.62537802221353,-85.00493854408377,2026-06-19
a0M6g00000BqR2I,University Of North Florida,Primary Zone,Region 3,,Chapter,JACKSONVILLE,Florida,United States,unf.nsbe@gmail.com,000  000000,27.99468334693605,-81.40947045971217,2026-06-19
a0M6g00000BqR2L,Fort Valley State University,Primary Zone,Region 3,,Chapter,FORT VALLEY,Georgia,United States,fvsbe3@gmail.com,000  000000,32.788793362299025,-83.60524869952266,2026-06-19
a0M6g00000BqR2M,Valdosta State University,Primary Zone,Region 3,,Chapter,VALDOSTA,Georgia,United States,,000  000000,32.76662201879481,-83.52250593487213,2026-06-19
a0M6g00000BqR2O,Clark Atlanta University,Primary Zone,Region 3,,Chapter,ATLANTA,Georgia,United States,caunsbe@yahoo.com,000  000000,32.8874826486873,-83.53147815571566,2026-06-19
a0M6g00000BqR2Q,University Of Tennessee-Martin,Primary Zone,Region 3,,Chapter,MARTIN,Tennessee,United States,latlbrow@utm.edu,000  000000,35.90674123000082,-86.50429175565765,2026-06-19
a0M6g00000BqR2S,Devry University- Orlando,Primary Zone,Region 3,,Chapter,Orlando,Florida,United States,danica.miller@hotmail.com,000  000000,27.491697662169127,-81.39557470840369,2026-06-19
a0M6g00000BqR2T,Georgia State University,Primary Zone,Region 3,,Chapter,Atlanta,Georgia,United States,,000  000000,32.85176879362642,-83.96688521067668,2026-06-19
a0M6g00000BqR2U,Georgia Perimeter College- GPC,Primary Zone,Region 3,,Chapter,Decatur,Georgia,United States,,000  000000,33.079015728574035,-83.7334284012963,2026-06-19
a0M6g00000BqR2V,Darton College,Primary Zone,Region 3,,Chapter,Albany,Georgia,United States,nikki.grantham@darton.edu,000  000000,33.27147182019269,-83.42729796955499,2026-06-19
a0M6g00000BqR2W,Atlanta Metropolitan College,Primary Zone,Region 3,,Chapter,Atlanta,Georgia,United States,ajbrookins@gmail.com,000  000000,32.9126162249759,-83.32604442345118,2026-06-19
a0M6g00000BqR2X,University Of West Florida,Primary Zone,Region 3,,Chapter,Pensacola,Florida,United States,bam23@students.uwf.edu,000  000000,27.619921486698082,-81.6762430095378,2026-06-19
a0M6g00000BqR2Y,Kettering University A-Section,Primary Zone,Region 4,,Chapter,Flint,Michigan,United States,nsbe.kua.pres@gmail.com,(248) 495-7657,43.155793563397324,-84.23086450096572,2026-06-19
a0M6g00000BqR2b,Lawrence Tech University,Primary Zone,Region 4,,Chapter,SOUTHFIELD,Michigan,United States,nsbeltu@yahoo.com,000  000000,43.09184347230742,-84.85465756642537,2026-06-19
a0M6g00000BqR2m,University Of Detroit Mercy,Primary Zone,Region 4,,Chapter,DETROIT,Michigan,United States,akinnihe@students.udmercy.edu,000  000000,43.28118594200213,-84.19143210516091,2026-06-19
a0M6g00000BqR2n,University Of Evansville,Primary Zone,Region 4,,Chapter,EVANSVILLE,Indiana,United States,hh84@evansville.edu,000  000000,40.12360008637844,-86.08425238638014,2026-06-19
a0M6g00000BqR2w,Wright State University,Primary Zone,Region 4,,Chapter,Dayton,Ohio,United States,cecs-dean@wright.edu,(937) 775-5001,40.66233774361496,-82.4895023522115,2026-06-19
a0M6g00000BqR31,Marquette University,Primary Zone,Region 4,,Chapter,MILWAUKEE,Wisconsin,United States,alex.morrison@marquette.edu,000  000000,44.281743852270516,-89.74535766371844,2026-06-19
a0M6g00000BqR32,Saginaw Valley State,Primary Zone,Region 4,,Chapter,Saginaw,Michigan,United States,mmugasa@svsu.edu,000  000000,43.51702670247769,-84.42293211578257,2026-06-19
a0M6g00000BqR34,Chicago State University,Primary Zone,Region 4,,Chapter,CHICAGO,Illinois,United States,nsbecsu@yahoo.com,000  000000,40.2610174102116,-89.27001033235693,2026-06-19
a0M6g00000BqR38,Itt Technical Institute,Primary Zone,Region 4,,Chapter,TROY,Michigan,United States,,000  000000,43.499370727944324,-84.702372638854,2026-06-19
a0M6g00000BqR3B,Devry University-Chicago,Primary Zone,Region 4,,Chapter,CHICAGO,Illinois,United States,,000  000000,40.655226205373644,-89.16745759749602,2026-06-19
a0M6g00000BqR3C,Wabash College,Primary Zone,Region 4,,Chapter,CRAWFORDSVILLE,Indiana,United States,,000  000000,39.58535655268804,-86.02649912951257,2026-06-19
a0M6g00000BqR3D,Illinois Wesleyan University,Primary Zone,Region 4,,Chapter,BLOOMINGTON,Illinois,United States,,000  000000,40.106756021637146,-89.21064918428958,2026-06-19
a0M6g00000BqR3E,Ferris State University,Primary Zone,Region 4,,Chapter,BIG RAPIDS,Michigan,United States,,000  000000,43.39618595406459,-84.27390157141377,2026-06-19
a0M6g00000BqR3G,Center For Advanced Technologies,Primary Zone,Region 4,,Chapter,DETROIT,Michigan,United States,1455@catnsbe.org,000  000000,43.1141222660002,-84.66886842896994,2026-06-19
a0M6g00000BqR3H,Depaul University,Primary Zone,Region 4,,Chapter,CHICAGO,Illinois,United States,nsbe@cti.depaul.edu,000  000000,40.54364038676883,-88.65585850175732,2026-06-19
a0M6g00000BqR3J,Daley College,Primary Zone,Region 4,,Chapter,CHICAGO,Illinois,United States,nsbe_at_daley@hotmail.com,000  000000,40.34997583034164,-89.23540874821413,2026-06-19
a0M6g00000BqR3O,Hope College,Primary Zone,Region 4,,Chapter,Holland,Michigan,United States,nsbe@hope.edu,000  000000,42.986373401395745,-84.7253357790008,2026-06-19
a0M6g00000BqR3P,Southern Indiana J.B.T. Henderson Chapter,Primary Zone,Region 4,,Chapter,Evansville,Indiana,United States,,000  000000,39.591701552450566,-86.13391692847101,2026-06-19
a0M6g00000BqR3Q,University Of Minnesota Duluth,Primary Zone,Region 4,,Chapter,Duluth,Minnesota,United States,umdnsbe@d.umn.edu,218-726-8444,45.42973675323997,-93.89576104786556,2026-06-19
a0M6g00000BqR3R,Cincinnati State Technical And Community College,Primary Zone,Region 4,,Chapter,Cincinnati,Ohio,United States,dtbrown27658@cincinnatistate.edu,000  000000,40.52476670495002,-82.70813337354537,2026-06-19
a0M6g00000BqR3S,ANDREWS UNIVERSITY,Primary Zone,Region 4,,Chapter,Berrien Springs,Michigan,United States,joseph.influence@gmail.com,000  000000,43.116460956162044,-84.32320783167242,2026-06-19
a0M6g00000BqR3a,Southern Methodist University NSBE,Big Tex Zone,Region 5,,Chapter,Dallas,Texas,United States,smunsbe@gmail.com,(1) (832) 412-5064,31.205271990731063,-97.39617219725912,2026-06-19
a0M6g00000BqR3c,Tulane University NSBE Chapter,Cajun Zone,Region 5,,Chapter,New Orleans,Louisiana,United States,tulanensbepresident@gmail.com,(832) 759-0205,30.91128642609012,-92.13117733744477,2026-06-19
a0M6g00000BqR3e,University of Arkansas at Pine Bluff,OK Zone,Region 5,,Chapter,Pine Bluff,Arkansas,United States,uapbnsbe@gmail.com,(+1) (870) 6924869,35.268997785704556,-92.44481826432255,2026-06-19
a0M6g00000BqR3q,Dillard University,Cajun Zone,Region 5,,Chapter,NEW ORLEANS,Louisiana,United States,nsbe@dillard.edu,000  000000,31.030210084246658,-91.87579616825393,2026-06-19
a0M6g00000BqR3s,Rose State College Nsbe,OK Zone,Region 5,,Chapter,Midwest City,Oklahoma,United States,dijoun-newman@stu.rose.edu,000  000000,35.67934694893451,-96.60998072006711,2026-06-19
a0M6g00000BqR3w,"Devry University-Irving, Tx.",Big Tex Zone,Region 5,,Chapter,Irving,Texas,United States,nsbe_devryirving@yahoo.com,000  000000,30.90499935881744,-97.26609509948159,2026-06-19
a0M6g00000BqR3x,University Of Houston-Downtown,Big Tex Zone,Region 5,,Chapter,HOUSTON,Texas,United States,nsbe_uhd@yahoo.com,000  000000,30.72188864397038,-97.52482237037123,2026-06-19
a0M6g00000BqR3z,Arkansas State,OK Zone,Region 5,,Chapter,State University,Arkansas,United States,prhodes@astate.edu,000  000000,35.06348657817676,-92.64899481737449,2026-06-19
a0M6g00000BqR40,Texas A&M University-Kingsville,Big Tex Zone,Region 5,,Chapter,Kingsville,Texas,United States,tomiwaolanrewaju1@gmail.com,(832) 251-6817,30.80272471794474,-97.62008097647859,2026-06-19
a0M6g00000BqR45,Henderston State University,OK Zone,Region 5,,Chapter,ARKADELPHIA,Arkansas,United States,,000  000000,35.296066338500225,-92.30589321273595,2026-06-19
a0M6g00000BqR46,Langston University,OK Zone,Region 5,,Chapter,LANGSTON,Oklahoma,United States,,000  000000,35.868458255120146,-96.71586435907092,2026-06-19
a0M6g00000BqR47,Northeastern State University,OK Zone,Region 5,,Chapter,TAHLEQUAH,Oklahoma,United States,,000  000000,35.542509121088706,-96.72958258552347,2026-06-19
a0M6g00000BqR49,University of Missouri - St. Louis,MO Zone,Region 5,,Chapter,ST. LOUIS,Missouri,United States,nsbeatumsl@gmail.com,3144411114,38.118570748783895,-92.56196720226399,2026-06-19
a0M6g00000BqR4B,Huston-Tillotson University Chapter,Big Tex Zone,Region 5,,Chapter,AUSTIN,Texas,United States,nsbewit@htu.edu,5125056410,31.285087030417916,-97.35568903817239,2026-06-19
a0M6g00000BqR4E,Concordia College,Primary Zone,Region 4,,Chapter,Moorhead,Minnesota,United States,,000  000000,45.5073025193765,-93.87865328658067,2026-06-19
a0M6g00000BqR4F,Arkansas Tech University,OK Zone,Region 5,,Chapter,Russellville,Arkansas,United States,,000  000000,35.04391507449001,-92.1157057323568,2026-06-19
a0M6g00000BqR4I,Southern Council Of Black Engineers & Scientists,Cajun Zone,Region 5,,Chapter,Shreveport,Louisiana,United States,josepherbrown@yahoo.com,000  000000,31.24172101013711,-91.92900490150843,2026-06-19
a0M6g00000BqR4J,250709,At-Large,Region 5,,Chapter,Alexandria,Virginia,United States,,000  000000,37.68126583038503,-78.22185053953854,2026-06-19
a0M6g00000BqR4M,California State University - Fresno,Northern California Zone,Region 6,,Chapter,FRESNO,California,United States,csuredfred@mail.fresnostate.edu,000  000000,36.22255471790598,-119.42432055777337,2026-06-19
a0M6g00000BqR4V,San Jose State University Black Alliance of Scientists & Engineers,Northern California Zone,Region 6,,Chapter,SAN JOSE,California,United States,base-engineering@sjsu.edu,415-497-6250,36.08393081745341,-119.85807630593405,2026-06-19
a0M6g00000BqR4Y,Black Excellence In Engineering Science And Techno,Northern California Zone,Region 6,,Chapter,Bakersfield,California,United States,,000  000000,35.93186665409831,-119.50935400382959,2026-06-19
a0M6g00000BqR4a,Westminster College Chapter,MO Zone,Region 5,,Chapter,Fulton,Missouri,United States,,000  000000,38.67768313439674,-92.56467334410212,2026-06-19
a0M6g00000BqR4b,University Of Nevada Las Vegas,Southwest Zone,Region 6,,Chapter,LAS VEGAS,Nevada,United States,unlvnsbe.president@gmail.com,000  000000,38.01010619986863,-116.98927043537049,2026-06-19
a0M6g00000BqR4c,University Of The Pacific,Northern California Zone,Region 6,,Chapter,STOCKTON,California,United States,,000  000000,35.868524270934884,-119.45429906668056,2026-06-19
a0M6g00000BqR4d,California Institute of Technology,Southern California Zone,Region 6,,Chapter,PASADENA,California,United States,mlthomas@caltech.edu,626  395-8103,35.98343727174685,-119.9308536469202,2026-06-19
a0M6g00000BqR4e,"University of California, Riverside",Southern California Zone,Region 6,,Chapter,Riverside,California,United States,habdu016@ucr.edu,3104379230,36.41088233074122,-119.9156917940853,2026-06-19
a0M6g00000BqR4f,Seattle University,Northwest Zone,Region 6,,Chapter,SEATTLE,Washington,United States,aragawia@seattleu.edu,000  000000,47.250206057636554,-121.73296462336556,2026-06-19
a0M6g00000BqR4h,California Maritime Academy,Northern California Zone,Region 6,,Chapter,VALLEJO,California,United States,smces@csum.edu,000  000000,35.847046044565744,-120.01676038856449,2026-06-19
a0M6g00000BqR4i,University Of Denver,Rocky Mountain Zone,Region 6,,Chapter,DENVER,Colorado,United States,nsbeduchapter@gmail.com,678  8254454,38.74858778641499,-105.5388549703449,2026-06-19
a0M6g00000BqR4j,Devry University-Long Beach,Southern California Zone,Region 6,,Chapter,LONG BEACH,California,United States,nsbe-dulb@yahoo.com,000  000000,35.803570352839024,-119.61776332872232,2026-06-19
a0M6g00000BqR4k,Oregon State University,Northwest Zone,Region 6,,Chapter,Corvallis,Oregon,United States,nsbe.clubs@oregonstate.edu,(541) 737-6588,44.698521168759655,-122.14539668021757,2026-06-19
a0M6g00000BqR4l,Deanza College,Northern California Zone,Region 6,,Chapter,CUPERTINO,California,United States,,000  000000,35.98879676786643,-119.67839563408444,2026-06-19
a0M6g00000BqR4m,Devry University-Phoenix,Southwest Zone,Region 6,,Chapter,PHOENIX,Arizona,United States,,000  000000,33.99226245956423,-111.18542886122445,2026-06-19
a0M6g00000BqR4n,Colorado Technical University,Rocky Mountain Zone,Region 6,,Chapter,COLORADO SPRINGS,Colorado,United States,,000  000000,38.74024354340896,-105.53405511328243,2026-06-19
a0M6g00000BqR4o,University Of Colorado-Colorado Springs,Rocky Mountain Zone,Region 6,,Chapter,COLORADO SPRINGS,Colorado,United States,nsbeatuccs@gmail.com,720  2276343,38.87553240977308,-105.48653269691745,2026-06-19
a0M6g00000BqR4q,Sacramento City College,Northern California Zone,Region 6,,Chapter,SACRAMENTO,California,United States,r6scc.nsbe@gmail.com,916  5769204,36.16606585621994,-119.74018030200776,2026-06-19
